STATE,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,,YTD RANK CONT%,
UTTAR PRADESH,"2,835","2,804","3,241","1,967",399,"1,803","3,064","3,452","4,377","4,722","28,664",1,41%
BIHAR,"1,021",978,"1,179",536,101,388,"1,065",971,968,"1,491","8,698",2,13%
DELHI,703,718,941,496,2,321,868,868,"1,086","1,236","7,239",3,10%
ASSAM,620,734,947,814,248,246,627,702,978,"1,221","7,137",4,10%
TAMIL NADU,1,"1,378","1,607",205,63,91,37,237,161,26,"3,806",5,6%
RAJASTHAN,195,243,339,139,6,187,384,258,566,637,"2,954",6,4%
WEST BENGAL,399,334,264,118,82,97,242,332,264,61,"2,193",7,3%
HARYANA,132,182,186,234,28,186,176,259,386,401,"2,170",8,3%
UTTARAKHAND,157,126,166,85,17,110,136,202,218,253,"1,470",9,2%
TRIPURA,180,125,125,112,102,50,48,96,99,104,"1,041",10,2%
JHARKHAND,83,57,127,49,17,78,100,84,151,135,881,11,1%
MAHARASHTRA,58,85,72,22,9,37,70,117,86,184,740,12,1%
PUNJAB,21,9,36,43,39,35,106,74,154,102,619,13,1%
CHHATTISGARH,50,53,67,17,6,39,75,65,110,107,589,14,1%
KARNATAKA,8,43,39,60,2,5,77,76,35,39,384,15,1%
ODISHA,35,24,20,13,1,56,5,6,10,25,195,16,0%
KERALA,0,1,0,0,0,0,16,25,21,37,100,17,0%
GUJARAT,2,8,4,2,3,4,4,24,10,35,96,18,0%
CHANDIGARH,3,5,7,8,1,6,7,7,7,21,72,19,0%
ANDAMAN & NICOBAR,1,0,29,0,0,0,0,0,0,0,30,20,0%
HIMACHAL PRADESH,0,0,2,0,0,0,2,1,0,0,5,22,0%
PUDUCHERRY,0,0,0,0,0,0,0,0,3,0,3,23,0%
ARUNACHAL PRADESH,0,0,0,0,0,0,1,0,0,0,1,24,0%
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,25,0%
GOA,0,0,0,0,0,0,0,0,0,10,10,21,0%
DNH&DD,0,0,0,0,0,0,0,0,0,0,0,25,0%
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,25,0%
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,25,0%
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,25,0%
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,25,0%
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,25,0%
LADAKH,0,0,0,0,0,0,0,0,0,0,0,25,0%
,6.504,"7,907","9,398","4,920","1,126","3,739","7,110","7,856","9,690","10,847","69,097",,100%